"player";"lineup";"post";"matchday"
"Kieran Gibbs";"bench";"Left-Back";27
"Aaron Ramsey";"bench";"Central Midfield";27
"Alexis Sánchez";"bench";"Left Wing";27
"Theo Walcott";"bench";"Right Wing";27
"Lucas Pérez";"bench";"Centre-Forward";27
"Petr Cech";"starting";"Keeper";28
"Gabriel Paulista";"starting";"Centre-Back";28
"Laurent Koscielny";"starting";"Centre-Back";28
"Nacho Monreal";"starting";"Centre-Back";28
"Granit Xhaka";"starting";"Defensive Midfield";28
"Francis Coquelin";"starting";"Defensive Midfield";28
"Héctor Bellerín";"starting";"Right Midfield";28
"Kieran Gibbs";"starting";"Left Midfield";28
"Mesut Özil";"starting";"Attacking Midfield";28
"Theo Walcott";"starting";"Secondary Striker";28
"Alexis Sánchez";"starting";"Centre-Forward";28
"Emiliano Martínez";"bench";"Keeper";28
"Mohamed Elneny";"bench";"Defensive Midfield";28
"Aaron Ramsey";"bench";"Central Midfield";28
"Alex Oxlade-Chamberlain";"bench";"Right Midfield";28
"Alex Iwobi";"bench";"Left Wing";28
"Olivier Giroud";"bench";"Centre-Forward";28
"Danny Welbeck";"bench";"Left Wing";28
"Petr Cech";"starting";"Keeper";29
"Laurent Koscielny";"starting";"Centre-Back";29
"Shkodran Mustafi";"starting";"Centre-Back";29
"Nacho Monreal";"starting";"Left-Back";29
"Héctor Bellerín";"starting";"Right-Back";29
"Granit Xhaka";"starting";"Defensive Midfield";29
"Aaron Ramsey";"starting";"Central Midfield";29
"Alex Oxlade-Chamberlain";"starting";"Central Midfield";29
"Alexis Sánchez";"starting";"Left Wing";29
"Theo Walcott";"starting";"Right Wing";29
"Danny Welbeck";"starting";"Centre-Forward";29
"David Ospina";"bench";"Keeper";29
"Per Mertesacker";"bench";"Centre-Back";29
"Gabriel Paulista";"bench";"Centre-Back";29
"Francis Coquelin";"bench";"Defensive Midfield";29
"Mohamed Elneny";"bench";"Defensive Midfield";29
"Alex Iwobi";"bench";"Left Wing";29
"Olivier Giroud";"bench";"Centre-Forward";29
"David Ospina";"starting";"Keeper";30
"Laurent Koscielny";"starting";"Centre-Back";30
"Shkodran Mustafi";"starting";"Centre-Back";30
"Nacho Monreal";"starting";"Left-Back";30
