"player";"lineup";"post";"matchday"
"Gaël Clichy";"starting";"Left-Back";32
"Jesús Navas";"starting";"Right-Back";32
"Fabian Delph";"starting";"Defensive Midfield";32
"Yaya Touré";"starting";"Defensive Midfield";32
"David Silva";"starting";"Attacking Midfield";32
"Leroy Sané";"starting";"Left Wing";32
"Raheem Sterling";"starting";"Right Wing";32
"Sergio Agüero";"starting";"Centre-Forward";32
"Willy Caballero";"bench";"Keeper";32
"Vincent Kompany";"bench";"Centre-Back";32
"Pablo Zabaleta";"bench";"Right-Back";32
"Fernando";"bench";"Defensive Midfield";32
"Kevin De Bruyne";"bench";"Attacking Midfield";32
"Nolito";"bench";"Left Wing";32
"Kelechi Iheanacho";"bench";"Centre-Forward";32
"Claudio Bravo";"starting";"Keeper";33
"Vincent Kompany";"starting";"Centre-Back";33
"Nicolás Otamendi";"starting";"Centre-Back";33
"Gaël Clichy";"starting";"Left-Back";33
"Jesús Navas";"starting";"Right-Back";33
"Fernandinho";"starting";"Defensive Midfield";33
"Yaya Touré";"starting";"Central Midfield";33
"David Silva";"starting";"Attacking Midfield";33
"Leroy Sané";"starting";"Left Wing";33
"Kevin De Bruyne";"starting";"Right Wing";33
"Sergio Agüero";"starting";"Centre-Forward";33
"Willy Caballero";"bench";"Keeper";33
"Aleksandar Kolarov";"bench";"Left-Back";33
"Pablo Zabaleta";"bench";"Right-Back";33
"Fernando";"bench";"Defensive Midfield";33
"Aleix García";"bench";"Defensive Midfield";33
"Raheem Sterling";"bench";"Left Wing";33
